Country or Area,Year,Area,City,Reliability,Source Year,Value,Value Footnotes
Republic of Korea,2010,Total,SEOUL,"Final figure, complete",2011,5064846,
Republic of Korea,2009,Total,SEOUL,"Final figure, complete",2009,5056143,
Republic of Korea,2008,Total,SEOUL,"Final figure, complete",2008,5046392,
France,2010,Total,PARIS,"Final figure, complete",2014,5037278.43,15
Republic of Korea,2007,Total,SEOUL,"Final figure, complete",2008,5035786,
Republic of Korea,2015,Total,SEOUL,"Final figure, complete",2015,5032269,18
Pakistan,1998,Total,Karachi,"Final figure, complete",2000,5029900,20
Republic of Korea,2006,Total,SEOUL,"Final figure, complete",2007,5025127,
Chile,2009,Total,SANTIAGO,"Final figure, complete",2009,5015680,31
China,2000,Total,Chongqing,"Final figure, complete",2002,5013398,
Russian Federation,2009,Total,MOSKVA,"Final figure, complete",2010,5003462,
Republic of Korea,2006,Total,SEOUL,"Final figure, complete",2007,4994996,
Russian Federation,2012,Total,St. Petersburg,"Final figure, complete",2013,4990602,
Republic of Korea,2007,Total,SEOUL,"Final figure, complete",2008,4989883,
France,1999,Total,PARIS,"Final figure, complete",2009,4989528,19
Chile,2008,Total,SANTIAGO,"Final figure, complete",2008,4988252,31
Singapore,2009,Total,SINGAPORE,"Final figure, complete",2015,4987573,39
Republic of Korea,2008,Total,SEOUL,"Final figure, complete",2008,4985327,
Russian Federation,2008,Total,MOSKVA,"Final figure, complete",2009,4983367,
Chile,2004,Total,SANTIAGO,"Final figure, complete",2004,4981779,"31,34"
Republic of Korea,2009,Total,SEOUL,"Final figure, complete",2009,4980234,
Republic of Korea,2010,Total,SEOUL,"Final figure, complete",2011,4974070,
Russian Federation,2007,Total,MOSKVA,"Final figure, complete",2008,4969687,
Republic of Korea,2000,Total,SEOUL,"Final figure, complete",2002,4966993,
Republic of Korea,2011,Total,SEOUL,"Final figure, complete",2012,4966717,18
Russian Federation,2006,Total,MOSKVA,"Final figure, complete",2007,4961764,"16,17"
Chile,2007,Total,SANTIAGO,"Final figure, complete",2007,4960815,"31,34"
Russian Federation,2004,Total,MOSKVA,"Final figure, complete",2005,4954465,"16,17"
Republic of Korea,2005,Total,SEOUL,"Final figure, complete",2007,4950410,
Republic of Korea,2000,Total,SEOUL,"Final figure, complete",2002,4928224,
Russian Federation,2011,Total,St. Petersburg,"Final figure, complete",2012,4926282,
United States of America,2000,Total,Miami (FL),"Final figure, complete",2002,4919036,"3,4"
Republic of Korea,2014,Total,SEOUL,"Final figure, complete",2014,4919002,18
Republic of Korea,2013,Total,SEOUL,"Final figure, complete",2013,4916407,18
Chile,2002,Total,SANTIAGO,"Final figure, complete",2002,4886629,34
Russian Federation,2010,Total,St. Petersburg,"Final figure, complete",2013,4879566,
Russian Federation,2010,Total,St. Petersburg,"Final figure, complete",2013,4879566,
Indonesia,2010,Total,JAKARTA,"Final figure, complete",2011,4870938,
Republic of Korea,2005,Total,SEOUL,"Final figure, complete",2007,4869761,
Singapore,2008,Total,SINGAPORE,"Final figure, complete",2015,4839396,39
Republic of Korea,2015,Total,SEOUL,"Final figure, complete",2015,4828103,18
Australia,2013,Total,Greater Sydney,"Final figure, complete",2015,4757083,43
Indonesia,2010,Total,JAKARTA,"Final figure, complete",2011,4736849,
Canada,2001,Total,Toronto,"Final figure, complete",2009,4682895,44
China,2000,Total,Chongqing,"Final figure, complete",2002,4678503,
Australia,2012,Total,Greater Sydney,"Final figure, complete",2014,4672619,43
Chile,2002,Total,SANTIAGO,"Final figure, complete",2007,4656690,
France,1999,Total,PARIS,"Final figure, complete",2009,4654352,19
Mexico,2010,Total,"MEXICO, CIUDAD DE","Final figure, complete",2011,4617297,
Australia,2011,Total,Greater Sydney,Provisional figure,2013,4605992,45
Russian Federation,2004,Total,St. Petersburg,"Final figure, complete",2005,4600000,"16,17"
Russian Federation,2009,Total,St. Petersburg,"Final figure, complete",2010,4591065,
Singapore,2007,Total,SINGAPORE,"Final figure, complete",2015,4588599,39
Russian Federation,2006,Total,St. Petersburg,"Final figure, complete",2007,4575902,"16,17"
Australia,2010,Total,Sydney,Provisional figure,2012,4575532,46
Russian Federation,2008,Total,St. Petersburg,"Final figure, complete",2009,4574950,
India,2001,Total,Kolkata (Calcutta),"Final figure, complete",2007,4572876,5
Russian Federation,2007,Total,St. Petersburg,"Final figure, complete",2008,4569616,
Mexico,2005,Total,Ciudad Del Carmen,"Final figure, complete",2007,4549233,1
Japan,2010,Total,TOKYO,"Final figure, complete",2012,4533645,"13,21"
India,2001,Total,Ahmedabad,"Final figure, complete",2007,4525013,5
Australia,2009,Total,Sydney,Provisional figure,2011,4504469,46
China,2000,Total,Xi'an,"Final figure, complete",2002,4481508,
India,2001,Total,Delhi,"Final figure, complete",2007,4466675,5
China,2000,Total,Guangzhou,"Final figure, complete",2002,4445052,
Indonesia,2005,Total,JAKARTA,"Final figure, complete",2008,4439715,"22,23"
Mexico,2010,Total,Guadalajara,"Final figure, complete",2011,4434878,
Mexico,2010,Total,Tlaquepaque,"Final figure, complete",2011,4434878,
Mexico,2010,Total,Tonala,"Final figure, complete",2011,4434878,
Mexico,2010,Total,Zapopan,"Final figure, complete",2011,4434878,
Japan,2010,Total,TOKYO,"Final figure, complete",2012,4412050,"13,21"
Singapore,2006,Total,SINGAPORE,"Final figure, complete",2015,4401365,39
Australia,2008,Total,Sydney,Provisional figure,2008,4399722,"46,47"
Australia,2011,Total,Sydney,"Final figure, complete",2012,4391673,"48,49"
Indonesia,2005,Total,JAKARTA,"Final figure, complete",2008,4380888,"22,23"
Australia,2013,Total,Sydney,"Final figure, complete",2015,4373433,43
Australia,2013,Total,Greater Melbourne,"Final figure, complete",2015,4347955,43
India,2001,Total,Chennai (Madras),"Final figure, complete",2007,4343645,5
Australia,2007,Total,Sydney,Provisional figure,2007,4336374,"46,50"
Peru,2007,Total,LIMA,"Final figure, complete",2009,4333994,24
China,2000,Total,Chengdu,"Final figure, complete",2002,4333541,
Pakistan,1998,Total,Karachi,"Final figure, complete",2000,4309123,20
Mexico,2007,Total,"MEXICO, CIUDAD DE","Final figure, complete",2009,4308609,
China,2000,Total,Wuhan,"Final figure, complete",2002,4306729,
India,2001,Total,Bangalore,"Final figure, complete",2007,4301326,5
Australia,2012,Total,Sydney,"Final figure, complete",2014,4293416,43
United States of America,2010,Total,New York (NY),"Final figure, complete",2013,4292589,"3,4"
Japan,2005,Total,TOKYO,"Final figure, complete",2007,4278904,"12,13,14"
Thailand,2010,Total,BANGKOK,"Final figure, complete",2013,4272632,
United Kingdom of Great Britain and Northern Ireland,2001,Total,LONDON,"Final figure, complete",2006,4270954,"27,28,29"
Singapore,2005,Total,SINGAPORE,"Final figure, complete",2015,4265762,39
Australia,2005,Total,Sydney,"Final figure, complete",2006,4255954,"46,50"
United States of America,2000,Total,Chicago (IL),"Final figure, complete",2002,4252891,"3,4"
Australia,2012,Total,Greater Melbourne,"Final figure, complete",2014,4248344,43
Mexico,2010,Total,"MEXICO, CIUDAD DE","Final figure, complete",2011,4233783,
Japan,2004,Total,TOKYO,"Final figure, complete",2004,4231835,"12,13,25"
Australia,2004,Total,Sydney,"Final figure, complete",2005,4225088,"46,50"
United States of America,2000,Total,New York (NY),"Final figure, complete",2002,4214074,"3,4"
Japan,2005,Total,TOKYO,"Final figure, complete",2007,4210749,"12,13,14"
Australia,2003,Total,Sydney,"Final figure, complete",2004,4198543,"46,50"
Japan,2003,Total,TOKYO,"Final figure, complete",2003,4195983,"12,13,25"
Australia,2013,Total,Melbourne,"Final figure, complete",2015,4181021,43
Mexico,2005,Total,Ciudad Del Carmen,"Final figure, complete",2007,4171683,1
Australia,2011,Total,Greater Melbourne,Provisional figure,2013,4169103,45
Singapore,2004,Total,SINGAPORE,"Final figure, complete",2015,4166664,39
Japan,2004,Total,TOKYO,"Final figure, complete",2004,4165782,"12,13,25"
United States of America,2000,Total,Dallas (TX),"Final figure, complete",2002,4145659,"3,4"
Peru,2007,Total,LIMA,"Final figure, complete",2009,4138941,24
Japan,2003,Total,TOKYO,"Final figure, complete",2003,4137940,"12,13,25"
Australia,2006,Total,Sydney,"Final figure, complete",2011,4119189,48
Iran (Islamic Republic of),2011,Total,TEHRAN,"Final figure, complete",2013,4094750,
Japan,2000,Total,TOKYO,"Final figure, complete",2009,4090662,"12,13,25"
Mexico,2010,Total,"Guadalupe, Nuevo LeÃ_n","Final figure, complete",2011,4089962,
Mexico,2010,Total,Monterrey,"Final figure, complete",2011,4089962,
Saudi Arabia,2004,Total,RIYADH,"Final figure, complete",2006,4087152,
Australia,2012,Total,Melbourne,"Final figure, complete",2014,4086734,43
China,2000,Total,Guangzhou,"Final figure, complete",2002,4079774,
Australia,2010,Total,Melbourne,Provisional figure,2012,4077036,46
Iran (Islamic Republic of),2011,Total,TEHRAN,"Final figure, complete",2013,4059301,
United States of America,2000,Total,Chicago (IL),"Final figure, complete",2002,4055013,"3,4"
Japan,2000,Total,TOKYO,"Final figure, complete",2009,4044026,"12,13,25"
Thailand,2010,Total,BANGKOK,"Final figure, complete",2013,4032586,
United States of America,2000,Total,Boston (MA),"Final figure, complete",2002,4032484,"3,4"
Egypt,2006,Total,Alexandria,"Final figure, complete",2011,4030582,
Australia,2011,Total,Sydney,"Final figure, complete",2012,4028524,"48,49"
Canada,2014,Total,MontrÃ©al,Provisional figure,2015,4027121,33
United Kingdom of Great Britain and Northern Ireland,2001,Total,LONDON,"Final figure, complete",2006,4007297,"27,28,29"
China,2000,Total,Wuhan,"Final figure, complete",2002,4005971,
Australia,2011,Total,Melbourne,"Final figure, complete",2012,3999982,"48,49"
Spain,2001,Total,MADRID,"Final figure, complete",2009,3998829,
Australia,2009,Total,Melbourne,Provisional figure,2011,3995537,46
Iran (Islamic Republic of),2006,Total,TEHRAN,"Final figure, complete",2011,3986419,
Mexico,2007,Total,"MEXICO, CIUDAD DE","Final figure, complete",2009,3953070,
Egypt,2006,Total,CAIRO,"Final figure, complete",2011,3949266,
Australia,2001,Total,Sydney,"Final figure, complete",2009,3948015,"46,50"
"China, Hong Kong SAR",2015,Total,HONG KONG SAR,"Final figure, complete",2016,3938700,
United States of America,2000,Total,WASHINGTON (DC),"Final figure, complete",2002,3933920,"3,4"
United States of America,2000,Total,Detroit (MI),"Final figure, complete",2002,3903377,"3,4"
"China, Hong Kong SAR",2014,Total,HONG KONG SAR,"Final figure, complete",2015,3896600,
Australia,2008,Total,Melbourne,Provisional figure,2008,3892419,"46,47"
United States of America,2010,Total,New York (NY),"Final figure, complete",2013,3882544,"3,4"
Singapore,1998,Total,SINGAPORE,"Final figure, complete",1998,3866000,
Canada,2010,Total,MontrÃ©al,"Final figure, complete",2012,3859318,"35,36"
United States of America,2012,Total,Los Angeles (CA),"Final figure, complete",2014,3857799,"3,26"
"China, Hong Kong SAR",2013,Total,HONG KONG SAR,"Final figure, complete",2014,3856800,
Australia,2011,Total,Melbourne,"Final figure, complete",2012,3847570,"48,49"
United States of America,2005,Total,Los Angeles (CA),"Final figure, complete",2005,3844829,"3,4"
Iraq,1987,Total,BAGHDAD,"Final figure, complete",1987,3841268,51
United States of America,2007,Total,Los Angeles (CA),"Final figure, complete",2008,3834340,"3,4"
United States of America,2008,Total,Los Angeles (CA),"Final figure, complete",2009,3833995,"3,4"
United States of America,2009,Total,Los Angeles (CA),"Final figure, complete",2011,3831868,"3,4"
"China, Hong Kong SAR",2012,Total,HONG KONG SAR,"Final figure, complete",2013,3827300,
China,2000,Total,Tianjin,"Final figure, complete",2002,3825069,
Canada,2011,Total,MontrÃ©al,"Final figure, complete",2013,3824220,
United States of America,2000,Total,Houston (TX),"Final figure, complete",2002,3822509,"3,4"
Egypt,2006,Total,CAIRO,"Final figure, complete",2011,3822351,
Iran (Islamic Republic of),2006,Total,TEHRAN,"Final figure, complete",2011,3817464,
Canada,2009,Total,MontrÃ©al,Provisional figure,2009,3814738,"33,35,38"
Australia,2007,Total,Melbourne,Provisional figure,2007,3806092,"46,50"
United States of America,2000,Total,New York (NY),"Final figure, complete",2002,3794204,"3,4"
United States of America,2010,Total,Los Angeles (CA),"Final figure, complete",2013,3792621,"3,4"
Singapore,2010,Total,SINGAPORE,"Final figure, complete",2011,3771721,"52,53"
Mexico,2007,Total,Guadalajara,"Final figure, complete",2009,3764371,
Mexico,2005,Total,Irapuato,"Final figure, complete",2007,3764371,"1,2"
India,2001,Total,Pune,"Final figure, complete",2007,3760636,5
"China, Hong Kong SAR",2010,Total,HONG KONG SAR,"Final figure, complete",2011,3757300,
Canada,2008,Total,MontrÃ©al,Provisional figure,2008,3750540,"38,40"
"China, Hong Kong SAR",2009,Total,HONG KONG SAR,"Final figure, complete",2009,3707500,
Canada,2007,Total,MontrÃ©al,"Final figure, complete",2007,3695790,
United States of America,2000,Total,Los Angeles (CA),"Final figure, complete",2002,3694820,"3,4"
Japan,2010,Total,Yokohama,"Final figure, complete",2012,3688773,13
"China, Hong Kong SAR",2008,Total,HONG KONG SAR,"Final figure, complete",2009,3680200,
China,2000,Total,Tianjin,"Final figure, complete",2002,3674112,
Canada,2006,Total,MontrÃ©al,"Final figure, complete",2006,3666280,
Republic of Korea,2000,Total,Busan (Pusan),"Final figure, complete",2002,3662884,
Australia,2006,Total,Sydney,"Final figure, complete",2011,3641418,
"China, Hong Kong SAR",2007,Total,HONG KONG SAR,"Final figure, complete",2009,3638500,
India,2001,Total,Hyderabad,"Final figure, complete",2007,3637483,5
Canada,2005,Total,MontrÃ©al,Provisional figure,2005,3635733,
Canada,2006,Total,MontrÃ©al,"Final figure, complete",2011,3635575,42
Australia,2005,Total,Melbourne,"Final figure, complete",2006,3635508,"46,50"
China,2000,Total,Nanjing,"Final figure, complete",2002,3624234,
Canada,2004,Total,MontrÃ©al,"Final figure, complete",2004,3606652,
Australia,2004,Total,Melbourne,"Final figure, complete",2005,3592975,"46,50"
Australia,2006,Total,Melbourne,"Final figure, complete",2011,3592592,48
"China, Hong Kong SAR",2006,Total,HONG KONG SAR,"Final figure, complete",2006,3587000,
Japan,2005,Total,Yokohama,"Final figure, complete",2007,3579628,"12,13"
Canada,2003,Total,MontrÃ©al,"Final figure, complete",2003,3574516,
Australia,2003,Total,Melbourne,"Final figure, complete",2004,3555321,"46,50"
